Year,Award,Project Title,Earmark,Agency,Location 1
2008,$268305.00,Barre City Illegal Drug Reduction Initiative,Earmark,BJA,"Barre, VT
(44.1968900003734, -72.50147000014022)"
2009,$52186.00,FY 2009 Recovery Act JAG Program,Recovery,BJA,"Barre, VT
(44.1968900003734, -72.50147000014022)"
2009,$12187.00,FY 2009 Justice Assistance Grant Program,,BJA,"Barre, VT
(44.1968900003734, -72.50147000014022)"
2009,$23721.00,FY 2009 Recovery Act Justice Assistance Grant Program,Recovery,BJA,"Bellows Falls, VT
(43.1291700000956, -72.44572000037755)"
2009,$103186.00,Bennington Police Communications and Investigations Project,Recovery,BJA,"Bennington, VT
(42.87672000002817, -73.19817999990693)"
2009,$24097.00,Bennington Police Training Project,,BJA,"Bennington, VT
(42.87672000002817, -73.19817999990693)"
2010,$22514.00,Bennington Police LPR Intel Project,,BJA,"Bennington, VT
(42.87672000002817, -73.19817999990693)"
2009,$10674.00,Equipment and Technology Enhancement,Recovery,BJA,"Berlin, VT
"
2009,$11860.00,Brandon Police Digital Video Project,Recovery,BJA,"Brandon, VT
(43.79993999973135, -73.0916300002242)"
2008,$223587.00,To improve the quality and longevity of Big Brothers Big Sisters of Windham County mentoring matches and to expand the number of mentor matches across a broader service area.,Earmark,OJJDP,"Brattleboro, VT
(42.854060000069126, -72.55888000001181)"
2009,$22158.00,Officer Overtime Project,,BJA,"Brattleboro, VT
(42.854060000069126, -72.55888000001181)"
2009,$94884.00,FY 2009 Recovery Act JAG Program,Recovery,BJA,"Brattleboro, VT
(42.854060000069126, -72.55888000001181)"
2010,$21524.00,FY 2010 Justice Assistance Grant Program,,BJA,"Brattleboro, VT
(42.854060000069126, -72.55888000001181)"
2011,$18729.00,Purchase law enforcement equipment,,BJA,"Brattleboro, VT
(42.854060000069126, -72.55888000001181)"
2012,$18634.00,Brattleboro Town FY 2012 JAG Project,,BJA,"Brattleboro, VT
(42.854060000069126, -72.55888000001181)"
2008,$25452.00,Burlington Justice Assistance Program,,BJA,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2008,$350000.00,Enforcing Underage Drinking Laws Program: Statewide Public Policy Enforcement,,OJJDP,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2008,$178870.00,"Helping homeless, foster and at-risk youth in Vermont",Earmark,OJJDP,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2009,$121870.00,FY 2009 Justice Assistance Grant Program,,BJA,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2009,$392371.00,Vermont Prescription Monitoring System (VPMS),,BJA,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2009,$521860.00,FY 2009 Recovery Act JAG Program,Recovery,BJA,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2009,$500000.00,Pathways to Employment & College for Vermont Youth,Earmark,OJJDP,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2009,$436726.00,ICAC Task Force - VT,Recovery,OJJDP,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2009,$199999.00,VT ICAC Program,,OJJDP,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2009,$360000.00,Vermont's Enforcing Underage Drinking Laws Program,,OJJDP,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2010,$112816.00,2010 Burlington Justice Assistance Project,,BJA,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2010,$500000.00,Improving Vermont's Law Enforcement's Digital Forensics Infrastructure through Training and System Upgrades,Earmark,BJA,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2010,$100000.00,Anti-Bullying,Earmark,OJJDP,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2010,$356400.00,Vermont's Enforcing Underage Drinking Laws Program,,OJJDP,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2010,$500000.00,Preventing Juvenile Delinquency through Mentoring in Vermont.,Earmark,OJJDP,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2010,$300000.00,MEntoring for a New Day (MEND),,BJA,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2011,$300000.00,Vermont's Enforcing Underage Drinking Laws Program,,OJJDP,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2011,$83670.00,2011 Burlington Justice Assistance Project,,BJA,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2012,$63132.00,Burlington City FY 2012 Justice Assistance Project,,BJA,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2012,$224395.00,The Vermont Internet Crimes Against Children (ICAC) Program,,OJJDP,"Burlington, VT
(44.47592000040788, -73.21322999966458)"
2009,$21299.00,FY 2009 Recovery Act JAG Program,Recovery,BJA,"Chester, VT
(43.2606100000516, -72.59176000002384)"
2009,$20219.00,FY 2009 Justice Assistance Grant Program,,BJA,"Colchester, VT
(44.53639999976036, -73.20891999965812)"
2009,$86581.00,FY 2009 Recovery Act JAG,Recovery,BJA,"Colchester, VT
(44.53639999976036, -73.20891999965812)"
2010,$17813.00,Equipment Purchase/replacement,,BJA,"Colchester, VT
(44.53639999976036, -73.20891999965812)"
2011,$13436.00,Purchase of Electronic Control Devices (Tazer X2)for department personnel,,BJA,"Colchester, VT
(44.53639999976036, -73.20891999965812)"
2012,$11084.00,Purchase of Electronic Control Devices Project,,BJA,"Colchester, VT
(44.53639999976036, -73.20891999965812)"
2009,$13572.00,FY 2009 Justice Assistance Grant Program,,BJA,"Essex Junction, VT
(44.490800000419824, -73.11100000044951)"
2009,$58116.00,FY 2009 Recovery Act JAG Program,Recovery,BJA,"Essex Junction, VT
(44.490800000419824, -73.11100000044951)"
2010,$14597.00,Police Department Security and Surveillance System Expansion and Improvement,,BJA,"Essex Junction, VT
(44.490800000419824, -73.11100000044951)"
2011,$11807.00,Evidence and Inventory Control Software Upgrade Project,,BJA,"Essex Junction, VT
(44.490800000419824, -73.11100000044951)"
2009,$10674.00,FY 2009 Recovery Act JAG Program,Recovery,BJA,"Fair Haven, VT
(43.591389999748856, -73.26584999987745)"
2009,$29651.00,FY 2009 Recovery Act Justice Assistance Grant Program,Recovery,BJA,"Hardwick, VT
(44.504250000137574, -72.36537999978702)"
2009,$30837.00,Patrol Vehicle and Related Equipment,Recovery,BJA,"Hyde Park, VT
(44.596559999644455, -72.614410000421)"
2009,$13047.00,FY 2009 Recovery Act Justice Assistance Grant Program,Recovery,BJA,"Manchester, VT
(43.16299000028846, -73.07207999979198)"
2009,$20163.00,FY 2009 Recovery Act JAG Program,Recovery,BJA,"Middlebury, VT
(44.0149899999887, -73.16710999972656)"
2012,$200000.00,Promoting Evidence Integration in Sex Offender Management: Sex Offender Treatment Intervention and progress Scale Training and Technical Assistance Project,,SMART,"Middlebury, VT
(44.0149899999887, -73.16710999972656)"
2009,$15234.00,FY 2009 Justice Assistance Grant Program,,BJA,"Milton, VT
(44.63852999975984, -73.11349000016321)"
2009,$65233.00,Milton Police Department's Equipment Purchases,Recovery,BJA,"Milton, VT
(44.63852999975984, -73.11349000016321)"
2010,$14102.00,Upgrade Police Radios to become narrowband and P-25 Compliant as set out by the F.C.C.,,BJA,"Milton, VT
(44.63852999975984, -73.11349000016321)"
2008,$212408.00,Vermont VCase Project,Earmark,BJA,"Montpelier, VT
(44.26029000038335, -72.57626000019872)"
2008,$333002.00,Vermont Treatment Court Enhancement Project,Earmark,BJA,"Montpelier, VT
(44.26029000038335, -72.57626000019872)"
2008,$84963.00,Communication Support Project,Earmark,BJA,"Montpelier, VT
(44.26029000038335, -72.57626000019872)"
2009,$33209.00,FY 2009 Justice Assistance Grant Program,Recovery,BJA,"Montpelier, VT
(44.26029000038335, -72.57626000019872)"
2009,$100000.00,Special Investigation Unit's Task forces,Earmark,BJA,"Montpelier, VT
(44.26029000038335, -72.57626000019872)"
2009,$162093.00,Return House Transitional Living Reentry Program,Recovery,BJA,"Montpelier, VT
(44.26029000038335, -72.57626000019872)"
2009,$250000.00,Vermont Integrated System of Care,,BJA,"Montpelier, VT
(44.26029000038335, -72.57626000019872)"
2010,$500000.00,Extended Education Programming at Schools,Earmark,OJJDP,"Montpelier, VT
(44.26029000038335, -72.57626000019872)"
